num_CUDA_blocks,iteration,GPU_execution_time,TOTAL_execution_time
51200,21,826.485,1122
51200,22,826.485,1121
51200,23,826.445,1123
51200,24,826.444,1136
51200,25,826.5,1127
51200,26,826.476,1135
51200,27,826.436,1131
51200,28,826.433,1123
51200,29,826.437,1140
54400,0,826.264,1124
54400,1,826.29,1122
54400,2,826.276,1139
54400,3,826.269,1135
54400,4,826.287,1128
54400,5,826.243,1137
54400,6,826.294,1136
54400,7,826.265,1123
54400,8,826.276,1142
54400,9,826.268,1137
54400,10,826.285,1123
54400,11,826.281,1120
54400,12,826.271,1137
54400,13,826.253,1121
54400,14,826.257,1144
54400,15,826.274,1120
54400,16,826.273,1119
54400,17,826.279,1121
54400,18,826.269,1121
54400,19,826.287,1138
54400,20,826.303,1141
54400,21,826.294,1126
54400,22,826.264,1126
54400,23,826.257,1121
54400,24,826.272,1130
54400,25,826.274,1126
54400,26,826.278,1120
54400,27,826.269,1148
54400,28,826.277,1128
54400,29,826.275,1121
57600,0,826.196,1129
57600,1,826.204,1121
57600,2,826.22,1127
57600,3,826.212,1120
57600,4,826.195,1121
57600,5,826.184,1128
57600,6,826.196,1121
57600,7,826.18,1120
57600,8,826.223,1126
57600,9,826.202,1147
57600,10,826.176,1124
57600,11,826.188,1120
57600,12,826.192,1140
57600,13,826.226,1125
57600,14,826.215,1120
57600,15,826.176,1147
57600,16,826.214,1144
57600,17,826.191,1143
57600,18,826.191,1139
57600,19,826.201,1121
57600,20,826.181,1125
57600,21,826.186,1136
57600,22,826.208,1125
57600,23,826.219,1120
57600,24,826.203,1124
57600,25,826.236,1123
57600,26,826.224,1125
57600,27,826.203,1129
57600,28,826.189,1125
57600,29,826.212,1153
60800,0,826.129,1125
60800,1,826.119,1141
60800,2,826.124,1123
60800,3,826.156,1123
60800,4,826.142,1122
60800,5,826.115,1136
60800,6,826.116,1130
60800,7,826.118,1121
60800,8,826.145,1126
60800,9,826.149,1126
60800,10,826.127,1123
60800,11,826.105,1132
60800,12,826.137,1119
60800,13,826.13,1124
60800,14,826.129,1121
60800,15,826.16,1120
60800,16,826.139,1122
60800,17,826.126,1120
60800,18,826.125,1124
60800,19,826.13,1119
60800,20,826.163,1129
60800,21,826.136,1137
60800,22,826.119,1136
60800,23,826.156,1123
60800,24,826.121,1119
60800,25,826.125,1123
60800,26,826.119,1121
60800,27,826.126,1138
60800,28,826.152,1120
60800,29,826.169,1120
64000,0,826.056,1123
64000,1,826.081,1120
64000,2,826.049,1134
64000,3,826.059,1120
64000,4,826.081,1123
64000,5,826.067,1137
64000,6,826.047,1120
64000,7,826.062,1127
64000,8,826.064,1124
64000,9,826.065,1119
64000,10,826.051,1135
64000,11,826.07,1126
64000,12,826.069,1124
64000,13,826.073,1124
64000,14,826.066,1126
64000,15,826.044,1121
64000,16,826.07,1126
64000,17,826.095,1142
64000,18,826.07,1121
64000,19,826.066,1120
64000,20,826.061,1125
64000,21,826.065,1122
64000,22,826.066,1120
64000,23,826.054,1120
64000,24,826.065,1122
64000,25,826.073,1128
64000,26,826.066,1121
64000,27,826.04,1125
64000,28,826.065,1127
64000,29,826.063,1120
